SiteCode,SiteName,UnitCode,SubUnitCode,EventDate,SiteType,Project,QCtype,SampleDepth_m,Parameter,Value,ValueFlag,FlagComments
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,Temp_C,17.795,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,Temp_F,64.031,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/27/2010,Lake,NETN_LS,0,0.5155,pH,6.67,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,DO_mgL,9.165,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,DOsat_pct,95.85,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,SpCond_uScm,29,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,Temp_C,17.51,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,Temp_F,63.518,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/15/2010,Lake,NETN_LS,0,0.509,pH,6.665,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,DO_mgL,8.37,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,DOsat_pct,96.1,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,Temp_C,22.21,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,Temp_F,71.978,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/28/2010,Lake,NETN_LS,0,0.517,pH,6.57,NA,NA
